s_B,alpha_BW,beta1_BN,beta2_BkuadratH,rho2_BT,rBW,v1_WN,v2_WH,thetaN,lambda_beta1_BN,sigma_NW,phi_N,phi0_p,phi1_EP,gamma_N,pi_beta2_BkuadratH,phi2_P,gamma1_H,rho,rho1_T,omega_P,omega1_E
0.08745401188473625,0.10628583713734685,0.17130474692314318,0.05516817211686077,0.12062477376718653,0.3594485142059236,0.06689350630721645,0.10325894325515858,0.2414477268626797,0.07078862551460273,0.06851329288386196,0.11156853531267928,0.12582631959290225,0.053158614482564204,0.13340838158018997,0.1019081785136218,0.06918673247187429,0.293164432230644,0.43695041948984403,0.10542265141320166,0.1523411367471812,0.14150900684070433
0.1450714306409916,0.22728208225275606,0.08762099474925733,0.1031354631568148,0.28051058133591333,0.31082890990323614,0.07785903390319586,0.055182353682242696,0.13050780858285227,0.052653220387381974,0.1041900947378358,0.2938205260281622,0.05245869164588016,0.143621224624369,0.13352384325766353,0.09791818776297309,0.08233715621155208,0.18649957566602637,0.37125250783770214,0.050522961354291275,0.14939575981439995,0.10330288672461399
0.12319939418114051,0.16287119621526533,0.09924430711419206,0.10406351216101065,0.20105047448957142,0.24285828488589833,0.06770104842767469,0.08366042781939206,0.21525767203336263,0.06814354350897973,0.13729458358764082,0.2767571769926851,0.05221235515289973,0.055197128365147244,0.1073342853867086,0.05256420658064357,0.07266564022269881,0.1623632266170519,0.2559754225506192,0.1260990760028094,0.2812509161042073,0.0657954822835348
0.10986584841970365,0.20171413823294054,0.20978312827906193,0.11374299014982066,0.2652914932215483,0.39413850591208466,0.05887025337570556,0.06344146769389743,0.2213430092765712,0.10830415609696922,0.12322248864095611,0.28555045663904255,0.08236102191495412,0.10412963353010704,0.2472804030131281,0.08412478276261563,0.08549963058319374,0.20122837256804882,0.2389606743862966,0.05353113549402391,0.14990923996990121,0.11958991181688024
0.06560186404424365,0.2815132947852186,0.16596435894893852,0.12260913337226616,0.16400992020612234,0.3554193517661638,0.06206358711006008,0.05633749704727678,0.1848261342604772,0.09214245505924978,0.13065611478614497,0.29898156452928704,0.09886431904046658,0.12090605194509164,0.23276090552436102,0.0880195618785857,0.05694238427460934,0.18790233772658202,0.25491096892375487,0.12457337827312322,0.1543899452257262,0.12932613504382545
0.06559945203362026,0.14985844582977498,0.07637955774249444,0.14758520794625346,0.2791046456992401,0.19878508180346738,0.09607787680327257,0.14899602323899452,0.24728884712494456,0.13926717110769748,0.11587833667107174,0.13477904984389746,0.12704074178077931,0.13709691237460855,0.19492617514996277,0.08988227808969004,0.10190597909082703,0.12113293685234879,0.3823960593543546,0.07024805601652374,0.25187965248359273,0.08167616770675266
0.05580836121681995,0.18207658460712595,0.09022073142990482,0.10163003483011954,0.1778403357468326,0.42327815534815283,0.07063337184057925,0.0822353844974723,0.2868734029538029,0.13174435617384408,0.11922765645178525,0.17924840378053175,0.11832953766065052,0.12140869321324278,0.2688340897938394,0.10801723692273323,0.056761256359221496,0.22816526293804124,0.3484111833211243,0.145807348011938,0.18994796849010798,0.13571792569987529
0.1366176145774935,0.2511102277086097,0.17452526536620838,0.0822956472941246,0.10216753029605968,0.39676117287695073,0.08642698610480755,0.13098744458546346,0.28511370258135527,0.0841817351697876,0.13491956515653192,0.25164769514081825,0.09459027063767483,0.1301728083069792,0.2611340305900106,0.10336025467268783,0.13003565078223617,0.14320763650191992,0.2055586703602404,0.08679407513020845,0.25534211139103624,0.14061432547657665
0.11011150117432088,0.1457596330983245,0.0757592375769328,0.12951861947687038,0.28107639528385275,0.4349399739875772,0.1003417270854857,0.07546406547637638,0.19016787428082643,0.07594234334312924,0.07496680088591859,0.23920412361075843,0.07736266662816658,0.0839450192542806,0.21707087287935042,0.11079050927934446,0.0733712081910433,0.22391759097956593,0.2022328006002253,0.08269316163380791,0.11307323151287706,0.07769044873778089
0.12080725777960455,0.1153959819657586,0.0991212077126248,0.07708322512620742,0.11825733535722671,0.367715852516508,0.11903948286293653,0.11815027222239292,0.12264760916815105,0.08796924081672669,0.09894249636431404,0.130779181267971,0.1497124500157711,0.13148251137465122,0.2736542561026517,0.12648832615421282,0.10400119146045106,0.23004021847963066,0.1795186949140192,0.06488880503324447,0.19751423873467686,0.14835214727152218
