Forest_Biomass,Wildlife,Human_Population,Population_Pressure,Human_Activities,Technological_Efforts,Economic_Measures,time
1.0099342830602247,0.4972347139765763,0.31295377076201386,0.23046059712816053,0.09531693250553329,0.0953172608610164,0.13158425631014783,0.0
0.9324980917812954,0.511520547063796,0.32095278125886295,0.1835605082445909,0.0942146594799448,0.10461989321675018,0.061882151087605336,0.1001001001001001
0.8065799419041413,0.5280842614232311,0.30012982130536553,0.1923963796367094,0.08877291441202259,0.07138796720852661,0.12956740534886318,0.2002002002002002
0.7667342105661601,0.5560446825733304,0.3023527571626373,0.16893903311703154,0.11243903276063903,0.07653420720237239,0.10783691249559556,0.3003003003003003
0.6951559205937086,0.5606594506957305,0.3294437892718607,0.2110001477998593,0.11312864251317589,0.07838092413364886,0.11680700526584645,0.4004004004004004
0.6239615405282495,0.5784911974733246,0.31307554240690466,0.1419122891443887,0.12041205349961191,0.11434139379647498,0.10378390597138946,0.5005005005005005
0.5921440702288955,0.5718494575636356,0.33364165426805226,0.14897584674521788,0.11024359939632287,0.1208025232531898,0.10719913120153715,0.6006006006006006
0.5097537801747897,0.5835178822128092,0.36659644743012,0.14508889997177427,0.13458348874313872,0.12041480525393919,0.11889477169759893,0.7007007007007008
0.48290595625783633,0.565660022282504,0.3921423754007999,0.17373411497337246,0.11557853028240515,0.0962590656516711,0.07805931930004797,0.8008008008008008
0.43422623893390416,0.5787456302292122,0.42398356554254407,0.14870425844629773,0.14796930854682455,0.10742139099656682,0.08717707055278427,0.9009009009009009
0.42731376348704214,0.5800940213456165,0.40759566878803083,0.17766876685018027,0.07817079786081851,0.11687874294276049,0.10169249344634897,1.001001001001001
0.3792308413075103,0.5346541435736071,0.38011464834062064,0.13850953813525715,0.1403109679219075,0.1302830741670532,0.08943881115656598,1.1011011011011012
0.33709179108138776,0.5034558108482111,0.44981652524704097,0.14628681386114206,0.12511778422028155,0.11130465923893323,0.1015808443062417,1.2012012012012012
0.34336692708100064,0.477887211039035,0.4366741241987878,0.12894684689072317,0.10893325007774703,0.10730282726029343,0.1046796326022719,1.3013013013013013
0.29728551640320994,0.4640217387704735,0.42670272145027,0.12570894505888028,0.13379089806158556,0.0857005779267645,0.09603785299966332,1.4014014014014016
0.28070334077594805,0.48212626878846304,0.47033550232226895,0.13684906618304923,0.1415535434720373,0.06375879001276855,0.09852569868719979,1.5015015015015016
0.2513255616471272,0.4687671747009041,0.4748684861160923,0.1355368120283197,0.14470546430387002,0.07916911909501516,0.12169368919997633,1.6016016016016017
0.24454311084384794,0.41027683628698225,0.4724243852582924,0.15558985882818474,0.11968399515238448,0.11470681786290132,0.1424178485104532,1.7017017017017018
0.1908019024747228,0.35831134421230054,0.5045128516191378,0.11570200944156,0.11899704971894413,0.10478477517609544,0.07712573292625205,1.8018018018018018
0.20277065156994847,0.3269590222231664,0.5454239882371398,0.10854300919540735,0.1458300816372403,0.12014299994243866,0.07351040828281029,1.9019019019019021
0.1819779476173066,0.34796413561930734,0.4941654183304937,0.12652626445633885,0.1597051671919634,0.1199821413983807,0.07313856146672079,2.002002002002002
0.13647060703175146,0.3096707897949164,0.5441154470476502,0.12664825079159236,0.16365120933970237,0.09123081492096675,0.1022676340938281,2.1021021021021022
